Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
Cobra C-3525/14  Twin,6.00,560.00,10.00,7.00,22.20,10550.00,43.56,966.80,744.72,3.75,31.25,0.39,1.40
Cobra C-4130/12  Twin,6.00,540.00,11.00,7.00,22.20,10549.00,63.12,1401.00,513.92,5.58,31.25,0.40,1.69
BadAss 2814-1120  Twin,5.00,1120.00,9.00,4.50,18.50,16397.00,109.04,2017.00,356.97,6.06,31.25,0.30,1.13
BadAss 2826-1030  Twin,5.00,1030.00,9.00,4.50,18.50,16413.00,94.88,1755.40,410.16,5.82,31.25,0.33,1.25
Tempest 2820-1460Kv  Twin,4.00,1460.00,7.00,4.00,14.80,18454.00,68.58,1014.80,709.50,3.13,31.25,0.31,1.17
Tempest 2820-840Kv  Twin,4.00,840.00,9.00,7.00,14.80,10539.00,54.42,805.40,893.97,3.39,31.25,0.42,1.16
Tempest 4120-520Kv  Twin,6.00,520.00,11.00,7.00,22.20,10545.00,62.70,1392.00,517.24,5.36,31.25,0.39,1.45
BadAss 2814-1120 ,5.00,1120.00,9.00,4.50,18.50,16397.00,54.52,1008.50,356.97,3.03,31.25,0.30,0.95
BadAss 3530-890 ,4.00,890.00,12.00,6.50,14.80,11353.00,86.40,1278.70,281.54,4.57,31.25,0.36,1.16
BadAss 4530-730Kv ,5.00,730.00,12.00,6.00,18.50,12306.00,90.99,1683.30,213.87,4.61,31.25,0.27,1.37
Cobra C-4120/20  Twin,5.00,480.00,12.00,10.00,18.50,7367.00,49.60,917.40,784.83,3.63,31.20,0.40,1.47
BadAss 3515-710  Twin,5.00,710.00,11.00,7.00,18.50,10533.00,83.90,1552.00,463.92,6.00,31.20,0.39,1.26
BadAss 3530-700  Twin,4.00,700.00,12.00,8.00,14.80,9214.00,96.44,1427.20,504.48,4.95,31.20,0.35,1.53
BadAss 3530-890  Twin,3.00,890.00,11.00,8.00,11.10,9219.00,91.04,1010.60,712.45,4.01,31.20,0.40,1.53
BadAss 4520-660Kv ,6.00,660.00,14.00,6.00,22.20,12289.00,99.53,2209.50,162.93,6.50,31.20,0.29,1.24
Cobra C-3525/10  Twin,4.00,780.00,11.00,8.00,14.80,9196.00,72.36,1071.00,672.27,4.14,31.16,0.39,1.40
BadAss 2826-690  Twin,4.00,690.00,12.00,8.50,14.80,8660.00,60.46,894.60,804.83,4.34,31.16,0.49,1.25
BadAss 3520-790  Twin,5.00,790.00,10.00,5.80,18.50,12688.00,79.74,1475.20,488.07,5.35,31.16,0.36,1.34
BadAss 3530-650Kv  Twin,5.00,570.00,11.00,8.00,18.50,9206.00,58.40,1080.60,666.30,4.77,31.16,0.44,1.53
BadAss 4530-550Kv  Twin,5.00,550.00,13.00,8.00,18.50,9199.00,107.24,1984.00,362.90,7.16,31.16,0.36,1.95
Tempest 2826-920Kv  Twin,4.00,920.00,11.00,7.00,14.80,10516.00,107.60,1592.40,452.15,5.59,31.16,0.35,1.22
Tempest 4130-460Kv  Twin,6.00,460.00,13.00,8.00,22.20,9203.00,98.66,2190.00,328.77,8.70,31.16,0.40,1.65
BadAss 4530-550Kv ,5.00,550.00,13.00,8.00,18.50,9199.00,53.62,992.00,362.90,3.58,31.16,0.36,1.36
Tempest 4130-460Kv ,6.00,460.00,13.00,8.00,22.20,9203.00,49.33,1095.00,328.77,4.35,31.16,0.40,1.21
Cobra C-3520/14  Twin,4.00,700.00,14.00,10.00,14.80,7346.00,88.60,1311.40,549.03,5.76,31.11,0.44,1.32
Cobra C-4130/12  Twin,6.00,540.00,11.00,7.00,22.20,10503.00,64.62,1434.40,501.95,6.06,31.11,0.42,1.69
BadAss 2814-1120  Twin,4.00,1120.00,10.00,5.80,14.80,12668.00,104.96,1553.40,463.50,5.30,31.11,0.34,1.13
BadAss 3515-940  Twin,4.00,940.00,10.00,6.00,14.80,12255.00,61.04,903.40,796.99,3.84,31.11,0.42,1.26
BadAss 3530-470  Twin,6.00,470.00,14.00,8.50,22.20,8650.00,96.98,2153.00,334.42,8.03,31.11,0.37,1.52
BadAss 4530-550Kv  Twin,4.00,550.00,14.00,10.00,14.80,7351.00,88.68,1312.60,548.53,5.80,31.11,0.44,1.95
Tempest 3515-950Kv  Twin,4.00,950.00,11.00,7.00,14.80,10495.00,100.64,1489.40,483.42,5.65,31.11,0.38,1.23
Tempest 4120-520Kv  Twin,6.00,520.00,11.00,7.00,22.20,10503.00,64.84,1439.40,500.21,5.76,31.11,0.40,1.45
Cobra C-4130/12 ,6.00,540.00,11.00,7.00,22.20,10503.00,32.31,717.20,501.95,3.03,31.11,0.42,1.23
BadAss 3530-470 ,6.00,470.00,14.00,8.50,22.20,8650.00,48.49,1076.50,334.42,4.01,31.11,0.37,1.14
Cobra C-3520/18  Twin,5.00,550.00,14.00,10.00,18.50,7334.00,68.76,1272.00,566.04,5.79,31.07,0.46,1.32
Cobra CP-2814-1050  Twin,5.00,1050.00,7.00,4.00,18.50,18361.00,48.22,892.00,807.17,3.03,31.07,0.34,1.13
BadAss 2820-780  Twin,5.00,780.00,11.00,7.00,18.50,10492.00,100.30,1855.60,388.01,6.55,31.07,0.35,1.19
BadAss 2820-910Kv  Twin,3.00,910.00,12.00,10.00,11.10,7334.00,91.10,1011.20,712.03,3.60,31.07,0.36,1.19
BadAss 2826-1030  Twin,3.00,1030.00,11.00,8.00,11.10,9180.00,106.40,1181.00,609.65,4.75,31.07,0.40,1.25
BadAss 3520-970  Twin,3.00,970.00,11.00,8.00,11.10,9168.00,95.62,1061.40,678.35,3.98,31.07,0.37,1.34
BadAss 2820-780 ,5.00,780.00,11.00,7.00,18.50,10492.00,50.15,927.80,388.01,3.28,31.07,0.35,0.98
BadAss 4530-550Kv ,6.00,550.00,15.00,7.00,22.20,10480.00,94.22,2091.60,172.12,6.84,31.07,0.33,1.37
Tempest 4120-700Kv ,6.00,700.00,11.00,5.50,22.20,13351.00,62.81,1394.40,258.18,3.94,31.07,0.28,1.11
Cobra C-2826-EF1  Twin,3.00,1200.00,10.00,7.00,11.10,10477.00,107.40,1192.20,603.93,4.72,31.02,0.40,1.24
Cobra C-2826-EF1-SS  Twin,3.00,1200.00,10.00,7.00,11.10,10477.00,107.40,1192.20,603.93,4.72,31.02,0.40,1.24
Cobra C-3515/12  Twin,4.00,1100.00,10.00,6.00,14.80,12206.00,89.54,1325.20,543.31,4.74,31.02,0.36,1.25
Cobra C-3525/14  Twin,6.00,560.00,12.00,8.00,22.20,9167.00,89.00,1975.80,364.41,7.62,31.02,0.39,1.40
BadAss 2826-690  Twin,4.00,690.00,11.00,8.50,14.80,8627.00,61.82,915.00,786.89,3.69,31.02,0.40,1.25
BadAss 3515-580Kv  Twin,5.00,580.00,11.00,8.00,18.50,9155.00,54.24,1003.20,717.70,3.94,31.02,0.39,1.27
BadAss 3520-790  Twin,3.00,790.00,12.00,10.00,11.10,7325.00,82.10,911.40,789.99,3.37,31.02,0.37,1.34
Tempest 2814-2100Kv  Twin,3.00,2100.00,7.00,4.00,11.10,18331.00,91.64,1017.20,707.83,3.05,31.02,0.30,1.11
Tempest 2826-920Kv  Twin,4.00,920.00,9.00,6.00,14.80,12212.00,56.32,833.60,863.72,3.25,31.02,0.39,1.22
Tempest 3520-550Kv  Twin,5.00,550.00,11.00,8.50,18.50,8625.00,50.44,933.00,771.70,3.85,31.02,0.41,1.30
Tempest 4120-600Kv  Twin,5.00,600.00,10.00,7.00,18.50,10463.00,59.12,1093.60,658.38,4.58,31.02,0.42,1.45
Cobra C-3525/14 ,6.00,560.00,12.00,8.00,22.20,9167.00,44.50,987.90,364.41,3.81,31.02,0.39,1.08
BadAss 4520-830Kv ,5.00,830.00,11.00,5.50,18.50,13333.00,76.29,1411.30,255.08,3.87,31.02,0.27,1.23
BadAss 3520-560  Twin,5.00,560.00,11.00,8.00,18.50,9150.00,54.30,1004.40,716.85,4.03,30.98,0.40,1.35
BadAss 3530-890  Twin,3.00,890.00,11.00,8.00,11.10,9154.00,98.46,1092.80,658.86,4.68,30.98,0.43,1.53
Tempest 4130-540Kv  Twin,5.00,540.00,12.00,8.00,18.50,9154.00,73.38,1357.40,530.43,4.76,30.98,0.35,1.65
Cobra C-2826/8  Twin,5.00,1130.00,9.00,4.50,18.50,16244.00,103.20,1909.20,377.12,5.97,30.93,0.31,1.23
Cobra C-4120/12  Twin,4.00,850.00,11.00,7.00,14.80,10438.00,100.50,1487.40,484.07,6.04,30.93,0.41,1.48
BadAss 2820-1080  Twin,5.00,1080.00,8.00,4.00,18.50,18262.00,54.28,1004.20,716.99,3.17,30.93,0.32,1.19
BadAss 2826-820Kv  Twin,3.00,820.00,12.00,10.00,11.10,7308.00,85.12,945.00,761.90,3.52,30.93,0.37,1.24
BadAss 3515-940  Twin,3.00,940.00,12.00,8.50,11.10,8600.00,82.66,917.60,784.66,4.35,30.93,0.47,1.26
BadAss 3530-650Kv  Twin,4.00,570.00,13.00,10.00,14.80,7307.00,60.28,892.00,807.17,4.58,30.93,0.51,1.53
Tempest 4130-690Kv  Twin,4.00,690.00,12.00,8.00,14.80,9139.00,92.88,1374.60,523.79,4.72,30.93,0.34,1.66
Cobra C-4120/12 ,4.00,850.00,11.00,7.00,14.80,10438.00,50.25,743.70,484.07,3.02,30.93,0.41,1.12
BadAss 3530-650Kv ,5.00,570.00,14.00,9.00,18.50,8114.00,68.46,1266.50,284.25,4.92,30.93,0.39,1.15
Cobra C-3520/10  Twin,4.00,980.00,11.00,7.00,14.80,10420.00,104.80,1551.00,464.22,5.48,30.89,0.35,1.31
Cobra C-3525/12  Twin,4.00,650.00,14.00,10.00,14.80,7294.00,81.90,1212.20,593.96,5.70,30.89,0.47,1.40
Cobra C-3525/14  Twin,6.00,560.00,10.00,7.00,22.20,10419.00,48.16,1069.20,673.40,4.69,30.89,0.44,1.40
Cobra C-4130/16  Twin,6.00,390.00,13.00,10.00,22.20,7301.00,60.68,1347.00,534.52,4.79,30.89,0.36,1.68
BadAss 2826-690  Twin,5.00,690.00,11.00,7.00,18.50,10428.00,79.78,1475.80,487.87,5.86,30.89,0.40,1.25
BadAss 3515-940  Twin,3.00,940.00,11.00,8.50,11.10,8584.00,84.08,933.20,771.54,3.67,30.89,0.39,1.26
BadAss 3530-700 ,4.00,700.00,14.00,8.50,14.80,8581.00,71.67,1060.80,339.37,3.79,30.89,0.36,1.15
BadAss 4520-540Kv ,4.00,540.00,16.00,12.00,14.80,6078.00,70.24,1039.50,346.32,3.31,30.89,0.32,1.23
BadAss 4530-550Kv ,5.00,550.00,13.00,8.00,18.50,9123.00,57.57,1065.00,338.03,4.34,30.89,0.41,1.36
BadAss 4530-550Kv ,6.00,550.00,14.00,7.00,22.20,10430.00,93.62,2078.30,173.22,7.19,30.89,0.35,1.37
Cobra C-3515/14  Twin,4.00,950.00,10.00,7.00,14.80,10415.00,77.96,1153.80,624.02,4.75,30.84,0.41,1.25
Tempest 2826-920Kv  Twin,6.00,920.00,8.00,4.00,22.20,18211.00,72.24,1603.60,448.99,4.51,30.84,0.28,1.22
Cobra C-2820/12  Twin,4.00,970.00,9.00,6.00,14.80,12126.00,55.98,828.60,868.94,3.21,30.80,0.39,1.17
Cobra C-3520/18  Twin,6.00,550.00,12.00,8.00,22.20,9097.00,65.88,1462.60,492.27,4.89,30.80,0.33,1.32
Cobra C-4120/16  Twin,6.00,610.00,10.00,6.00,22.20,12126.00,55.64,1235.00,583.00,4.59,30.80,0.37,1.47
BadAss 2814-980Kv  Twin,4.00,980.00,10.00,7.00,14.80,10390.00,83.48,1235.60,582.71,4.55,30.80,0.37,1.13
Tempest 2814-1400Kv  Twin,3.00,1400.00,9.00,6.00,11.10,12126.00,81.38,903.20,797.17,3.18,30.80,0.35,1.11
Tempest 2820-1170Kv  Twin,5.00,1170.00,8.00,4.00,18.50,18188.00,90.70,1678.00,429.08,4.39,30.80,0.26,1.16
Tempest 2820-970Kv  Twin,4.00,970.00,9.00,6.00,14.80,12130.00,56.60,837.60,859.60,3.16,30.80,0.38,1.16
Tempest 4120-830Kv  Twin,5.00,830.00,10.00,5.00,18.50,14561.00,99.92,1848.40,389.53,6.50,30.80,0.35,1.45
Tempest 4130-540Kv  Twin,4.00,540.00,14.00,10.00,14.80,7277.00,76.10,1126.20,639.32,5.53,30.80,0.49,1.65
BadAss 3520-790 ,4.00,790.00,12.00,8.00,14.80,9089.00,64.53,955.10,376.92,3.61,30.80,0.38,1.06
Tempest 4120-830Kv ,5.00,830.00,10.00,5.00,18.50,14561.00,49.96,924.20,389.53,3.25,30.80,0.35,1.11
Tempest 4130-400Kv ,5.00,400.00,17.00,12.00,18.50,6067.00,64.81,1198.90,300.28,4.44,30.80,0.37,1.21
Cobra C-2826/8  Twin,3.00,1130.00,11.00,8.00,11.10,9076.00,95.78,1063.00,677.33,3.98,30.75,0.37,1.23
Cobra C-3515/14  Twin,3.00,950.00,12.00,10.00,11.10,7266.00,86.84,964.00,746.89,3.58,30.75,0.37,1.25
Cobra C-3520/12  Twin,5.00,820.00,10.00,6.00,18.50,12110.00,68.88,1274.20,565.06,4.45,30.75,0.35,1.32
Cobra C-3525/12  Twin,6.00,650.00,10.00,6.00,22.20,12110.00,55.84,1239.60,580.83,4.44,30.75,0.36,1.40
Cobra C-3525/14  Twin,5.00,560.00,11.00,8.50,18.50,8544.00,48.08,889.60,809.35,3.70,30.75,0.42,1.40
Cobra C-3525/18  Twin,6.00,430.00,13.00,10.00,22.20,7266.00,63.16,1402.20,513.48,4.64,30.75,0.33,1.40
Cobra C-4120/14  Twin,4.00,710.00,11.00,8.00,14.80,9085.00,65.66,971.60,741.05,4.07,30.75,0.42,1.48
Cobra C-4120/16  Twin,5.00,610.00,13.00,8.00,18.50,9078.00,107.30,1985.00,362.72,7.14,30.75,0.36,1.47
Cobra C-4120/18  Twin,6.00,540.00,11.00,7.00,22.20,10385.00,61.24,1359.40,529.65,5.48,30.75,0.40,1.47
BadAss 2820-780  Twin,5.00,780.00,10.00,6.00,18.50,12107.00,67.24,1243.80,578.87,4.59,30.75,0.37,1.19
BadAss 3515-710  Twin,4.00,710.00,11.00,8.00,14.80,9084.00,49.06,726.00,991.74,3.53,30.75,0.49,1.26
BadAss 3520-970  Twin,3.00,970.00,11.00,8.00,11.10,9081.00,100.22,1112.40,647.25,4.57,30.75,0.41,1.34
Tempest 4120-700Kv  Twin,4.00,700.00,12.00,8.00,14.80,9085.00,92.32,1366.40,526.93,4.75,30.75,0.35,1.45
Cobra C-4120/16 ,5.00,610.00,13.00,8.00,18.50,9078.00,53.65,992.50,362.72,3.57,30.75,0.36,1.12
Tempest 4130-690Kv ,5.00,690.00,12.00,6.50,18.50,11173.00,65.74,1216.20,296.00,4.40,30.75,0.36,1.21
Cobra C-3520/10  Twin,4.00,980.00,11.00,7.00,14.80,10358.00,107.38,1589.40,453.00,5.89,30.71,0.37,1.31
Cobra C-3525/10  Twin,4.00,780.00,11.00,8.00,14.80,9068.00,76.32,1129.40,637.51,4.76,30.71,0.42,1.40
Cobra C-4120/12  Twin,4.00,850.00,11.00,7.00,14.80,10365.00,95.04,1406.40,511.95,5.49,30.71,0.39,1.48
Cobra C-4120/16  Twin,4.00,610.00,13.00,10.00,14.80,7253.00,94.48,1398.40,514.87,4.68,30.71,0.33,1.47
Cobra C-4120/20  Twin,7.00,480.00,11.00,7.00,25.90,10361.00,52.00,1347.00,534.52,5.37,30.71,0.40,1.47
BadAss 2826-820Kv  Twin,4.00,820.00,10.00,7.00,14.80,10371.00,74.74,1106.00,650.99,4.49,30.71,0.41,1.24
BadAss 3520-560  Twin,5.00,560.00,11.00,8.00,18.50,9067.00,57.14,1057.20,681.04,4.67,30.71,0.44,1.35
Tempest 2826-920Kv  Twin,4.00,920.00,10.00,6.00,14.80,12088.00,60.78,899.60,800.36,3.82,30.71,0.42,1.22
Tempest 3520-550Kv  Twin,6.00,550.00,10.00,7.00,22.20,10365.00,50.06,1111.20,647.95,4.55,30.71,0.41,1.30
BadAss 4520-660Kv ,4.00,660.00,14.00,9.00,14.80,8063.00,83.66,1238.20,290.74,4.99,30.71,0.40,1.24
Cobra C-3520/14  Twin,5.00,700.00,10.00,7.00,18.50,10346.00,58.70,1085.80,663.11,4.68,30.66,0.43,1.32
BadAss 2820-1080  Twin,3.00,1080.00,9.00,7.00,11.10,10342.00,67.08,744.40,967.22,3.25,30.66,0.44,1.19
BadAss 3515-1130  Twin,3.00,1130.00,10.00,7.00,11.10,10343.00,99.22,1101.20,653.83,4.52,30.66,0.41,1.27
BadAss 3515-580Kv  Twin,5.00,580.00,11.00,8.00,18.50,9056.00,58.28,1078.00,667.90,4.78,30.66,0.44,1.27
BadAss 3530-890  Twin,4.00,890.00,10.00,5.80,14.80,12498.00,87.36,1292.80,556.93,5.05,30.66,0.39,1.53
Tempest 2820-970Kv  Twin,6.00,970.00,8.00,4.00,22.20,18119.00,73.46,1631.00,441.45,4.41,30.66,0.27,1.16
BadAss 4530-550Kv ,6.00,550.00,14.00,7.00,22.20,10355.00,101.31,2249.20,160.06,5.86,30.66,0.26,1.37
Cobra C-4120/16  Twin,5.00,610.00,12.00,8.00,18.50,9047.00,100.14,1852.40,388.68,7.59,30.62,0.41,1.47
Cobra C-4130/16  Twin,5.00,390.00,14.00,12.00,18.50,6024.00,60.38,1117.20,644.47,3.96,30.62,0.35,1.68
BadAss 2826-820Kv  Twin,6.00,820.00,9.00,4.50,22.20,16073.00,77.42,1718.60,418.95,5.67,30.62,0.33,1.24
BadAss 3530-650Kv  Twin,5.00,570.00,14.00,8.50,18.50,8516.00,107.32,1985.40,362.65,7.72,30.62,0.39,1.53
Tempest 2820-970Kv  Twin,4.00,970.00,10.00,6.00,14.80,12054.00,59.18,875.80,822.11,3.64,30.62,0.42,1.16
Tempest 3515-950Kv  Twin,4.00,950.00,11.00,7.00,14.80,10335.00,104.10,1540.60,467.35,5.22,30.62,0.34,1.23
Cobra C-4120/16 ,5.00,610.00,12.00,8.00,18.50,9047.00,50.07,926.20,388.68,3.79,30.62,0.41,1.12
BadAss 3530-650Kv ,5.00,570.00,14.00,8.50,18.50,8516.00,53.66,992.70,362.65,3.86,30.62,0.39,1.15
BadAss 3530-700 ,5.00,700.00,12.00,6.50,18.50,11126.00,64.62,1195.40,301.15,4.41,30.62,0.37,1.15
Cobra C-2826/10  Twin,6.00,930.00,9.00,4.50,22.20,16060.00,80.02,1776.60,405.27,5.87,30.57,0.33,1.23
Cobra C-3515/14  Twin,6.00,950.00,9.00,4.50,22.20,16041.00,79.34,1761.40,408.77,5.82,30.57,0.33,1.25
Cobra C-4130/14  Twin,5.00,450.00,14.00,10.00,18.50,7226.00,58.58,1083.80,664.33,5.67,30.57,0.52,1.69
BadAss 2820-1080  Twin,4.00,1080.00,9.00,5.00,14.80,14445.00,57.14,845.60,851.47,3.35,30.57,0.40,1.19
BadAss 2826-820Kv  Twin,3.00,820.00,13.00,10.00,11.10,7219.00,88.24,979.40,735.14,4.49,30.57,0.46,1.24
BadAss 3520-560  Twin,4.00,560.00,12.00,10.00,14.80,7222.00,56.34,833.80,863.52,3.23,30.57,0.39,1.35
BadAss 3520-790  Twin,4.00,790.00,10.00,7.00,14.80,10321.00,60.90,901.20,798.93,3.48,30.57,0.39,1.34
BadAss 3520-970  Twin,4.00,970.00,10.00,5.80,14.80,12445.00,93.36,1381.80,521.06,5.15,30.57,0.37,1.34
BadAss 3530-650Kv  Twin,5.00,570.00,12.00,8.00,18.50,9023.00,69.84,1292.00,557.28,4.67,30.57,0.36,1.53
Tempest 2826-1140Kv  Twin,5.00,1140.00,8.00,4.00,18.50,18048.00,86.82,1606.20,448.26,4.37,30.57,0.27,1.22
Cobra C-2820/14  Twin,4.00,840.00,11.00,8.00,14.80,9010.00,69.06,1022.00,704.50,3.96,30.53,0.39,1.17
BadAss 2820-910Kv  Twin,3.00,910.00,13.00,10.00,11.10,7215.00,94.08,1044.20,689.52,4.52,30.53,0.43,1.19
BadAss 3515-940  Twin,5.00,940.00,10.00,5.00,18.50,14428.00,99.54,1841.60,390.96,6.56,30.53,0.36,1.26
BadAss 3530-470  Twin,6.00,470.00,12.00,8.00,22.20,9009.00,71.22,1580.80,455.47,5.35,30.53,0.34,1.52
BadAss 3530-700  Twin,6.00,700.00,10.00,5.00,22.20,14418.00,79.12,1756.40,409.93,6.40,30.53,0.36,1.53
Tempest 4120-830Kv  Twin,5.00,830.00,10.00,5.00,18.50,14419.00,107.68,1992.00,361.45,5.76,30.53,0.29,1.45
Tempest 4130-540Kv  Twin,4.00,540.00,14.00,10.00,14.80,7210.00,84.60,1252.00,575.08,5.94,30.53,0.47,1.65
BadAss 3515-940 ,5.00,940.00,10.00,5.00,18.50,14428.00,49.77,920.80,390.96,3.28,30.53,0.36,1.02
BadAss 3530-700 ,6.00,700.00,10.00,5.00,22.20,14418.00,39.56,878.20,409.93,3.20,30.53,0.36,1.15
Cobra C-2826/10  Twin,3.00,930.00,12.00,10.00,11.10,7201.00,82.08,911.00,790.34,3.56,30.49,0.39,1.23
Cobra C-2826/12  Twin,4.00,760.00,11.00,8.50,14.80,8476.00,60.92,901.60,798.58,3.71,30.49,0.41,1.23
Cobra C-4120/14  Twin,4.00,710.00,11.00,8.00,14.80,8999.00,70.42,1042.20,690.85,4.78,30.49,0.46,1.48
BadAss 3520-650Kv  Twin,4.00,650.00,11.00,8.00,14.80,9007.00,47.18,698.40,1030.93,3.44,30.49,0.49,1.35
Tempest 3515-950Kv  Twin,6.00,950.00,8.00,4.00,22.20,18015.00,70.10,1556.20,462.67,4.28,30.49,0.28,1.23
Tempest 4120-600Kv  Twin,5.00,600.00,11.00,7.00,18.50,10284.00,69.42,1284.40,560.57,5.16,30.49,0.40,1.45
BadAss 3520-970 ,4.00,970.00,12.00,6.50,14.80,11079.00,85.92,1271.60,283.11,4.36,30.49,0.34,1.06
BadAss 4530-440Kv ,4.00,440.00,21.00,14.00,14.80,5144.00,98.69,1460.60,246.47,6.82,30.49,0.47,1.37
Cobra C-2826/12  Twin,5.00,760.00,11.00,7.00,18.50,10276.00,75.40,1395.00,516.13,5.36,30.44,0.38,1.23
Cobra C-4120/20  Twin,5.00,480.00,14.00,10.00,18.50,7188.00,60.62,1121.20,642.17,5.55,30.44,0.49,1.47
Cobra C-4120/20  Twin,6.00,480.00,11.00,8.00,22.20,8995.00,43.96,976.00,737.70,3.91,30.44,0.40,1.47
BadAss 2826-690  Twin,4.00,690.00,11.00,8.00,14.80,8990.00,46.76,692.00,1040.46,3.43,30.44,0.50,1.25
BadAss 3520-790 ,4.00,790.00,13.00,8.00,14.80,8992.00,68.11,1008.00,357.14,3.37,30.44,0.33,1.06
Tempest 4120-700Kv ,4.00,700.00,14.00,8.50,14.80,8465.00,68.38,1012.00,355.73,3.82,30.44,0.38,1.11
Cobra C-3520/10  Twin,4.00,980.00,9.00,6.00,14.80,11965.00,54.38,804.80,894.63,3.11,30.40,0.39,1.31
Cobra C-4130/14  Twin,6.00,450.00,14.00,9.00,22.20,7974.00,102.48,2275.00,316.48,9.93,30.40,0.44,1.69
BadAss 2814-1120  Twin,3.00,1120.00,11.00,8.00,11.10,8980.00,103.34,1147.20,627.62,3.92,30.40,0.34,1.13
BadAss 3515-940  Twin,3.00,940.00,11.00,8.00,11.10,8977.00,64.34,714.20,1008.12,3.46,30.40,0.48,1.26
BadAss 3530-630Kv  Twin,4.00,630.00,11.00,8.00,14.80,8980.00,67.00,991.80,725.95,4.53,30.40,0.46,1.54
Cobra C-4130/14 ,6.00,450.00,14.00,9.00,22.20,7974.00,51.24,1137.50,316.48,4.96,30.40,0.44,1.23
Tempest 4130-460Kv ,6.00,460.00,15.00,8.00,22.20,8974.00,59.22,1314.60,273.85,5.03,30.40,0.38,1.21
Cobra C-2814/20  Twin,5.00,850.00,9.00,6.00,18.50,11953.00,42.68,789.60,911.85,3.11,30.35,0.39,1.11
Cobra C-3525/10  Twin,5.00,780.00,10.00,6.00,18.50,11947.00,64.32,1190.00,605.04,4.34,30.35,0.36,1.40
BadAss 2315-1100Kv  Twin,4.00,1110.00,9.00,6.00,14.80,11949.00,59.56,881.40,816.88,3.01,30.35,0.34,1.04
BadAss 2814-1300  Twin,3.00,1300.00,9.00,6.00,11.10,11958.00,72.02,799.60,900.45,3.08,30.35,0.39,1.13
BadAss 2814-1560Kv  Twin,4.00,1560.00,8.00,4.00,14.80,17923.00,107.86,1596.40,451.01,4.25,30.35,0.27,1.13
BadAss 3530-470  Twin,6.00,470.00,13.00,8.00,22.20,8965.00,77.84,1728.20,416.62,6.79,30.35,0.39,1.52
BadAss 3530-700  Twin,6.00,700.00,10.00,5.00,22.20,14336.00,83.14,1845.80,390.07,5.67,30.35,0.31,1.53
Tempest 2820-970Kv  Twin,3.00,970.00,12.00,10.00,11.10,7169.00,94.30,1046.60,687.94,3.39,30.35,0.32,1.16
Tempest 2820-970Kv  Twin,4.00,970.00,11.00,7.00,14.80,10244.00,98.22,1453.60,495.32,5.51,30.35,0.38,1.16
Tempest 4120-520Kv  Twin,5.00,520.00,11.00,8.00,18.50,8958.00,48.06,889.00,809.90,3.76,30.35,0.42,1.45
Tempest 4120-600Kv  Twin,5.00,600.00,11.00,7.00,18.50,10245.00,72.32,1338.00,538.12,5.55,30.35,0.41,1.45
Tempest 4130-540Kv  Twin,5.00,540.00,12.00,8.00,18.50,8963.00,92.66,1714.40,419.97,7.11,30.35,0.41,1.65
BadAss 3530-470 ,6.00,470.00,13.00,8.00,22.20,8965.00,38.92,864.10,416.62,3.40,30.35,0.39,1.14
BadAss 4520-540Kv ,5.00,540.00,14.00,9.00,18.50,7967.00,62.04,1147.80,313.64,4.86,30.35,0.42,1.23
BadAss 4530-440Kv ,5.00,440.00,15.00,10.00,18.50,7175.00,57.37,1061.40,339.17,3.92,30.35,0.37,1.36
Tempest 4130-540Kv ,5.00,540.00,12.00,8.00,18.50,8963.00,46.33,857.20,419.97,3.55,30.35,0.41,1.21
BadAss 2814-1120  Twin,3.00,1120.00,9.00,7.00,11.10,10223.00,70.12,778.20,925.21,3.27,30.31,0.42,1.13
BadAss 2820-910Kv  Twin,4.00,910.00,11.00,7.00,14.80,10225.00,93.68,1386.40,519.33,5.16,30.31,0.37,1.19
BadAss 3515-580Kv  Twin,4.00,580.00,12.00,10.00,14.80,7157.00,56.48,835.80,861.45,3.28,30.31,0.39,1.27
BadAss 3515-940  Twin,5.00,940.00,10.00,5.00,18.50,14318.00,105.02,1942.80,370.60,5.81,30.31,0.30,1.26
BadAss 3520-650Kv  Twin,3.00,650.00,15.00,12.00,11.10,5969.00,96.86,1075.20,669.64,5.42,30.31,0.50,1.35
BadAss 3520-790  Twin,4.00,790.00,10.00,7.00,14.80,10225.00,67.96,1005.80,715.85,4.29,30.31,0.43,1.34
BadAss 4520-660Kv  Twin,4.00,660.00,11.00,8.00,14.80,8953.00,68.42,1012.40,711.18,4.50,30.31,0.44,1.68
BadAss 4530-440Kv  Twin,6.00,440.00,13.00,8.00,22.20,8955.00,79.92,1774.20,405.82,6.75,30.31,0.38,1.95
Tempest 4130-540Kv  Twin,5.00,540.00,13.00,8.00,18.50,8956.00,92.04,1702.60,422.88,6.71,30.31,0.39,1.65
Cobra C-4120/16 ,5.00,610.00,13.00,8.00,18.50,8949.00,57.06,1055.60,341.04,4.26,30.31,0.40,1.12
BadAss 4520-660Kv ,6.00,660.00,11.00,5.50,22.20,13013.00,56.68,1258.20,286.12,3.72,30.31,0.30,1.23
BadAss 4530-440Kv ,6.00,440.00,13.00,8.00,22.20,8955.00,39.96,887.10,405.82,3.38,30.31,0.38,1.36
